entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
starfruit,ingredient,0.004,0.1,0.393,0.095,0.258,"Category: Fruit, Molecules: 190"
tamarind,ingredient,0.005,0.127,0.377,0.116,0.268,"Category: Fruit, Molecules: 164"
woodapple,ingredient,0.0,0.0,0.667,0.167,0.0,"Category: Fruit, Molecules: 6"
berry,ingredient,0.0,0.179,0.431,0.231,0.179,"Category: Berry, Molecules: 39"
bilberry,ingredient,0.0,0.089,0.42,0.159,0.278,"Category: Berry, Molecules: 169"
blackberry,ingredient,0.005,0.127,0.44,0.132,0.259,"Category: Berry, Molecules: 150"
blueberry,ingredient,0.005,0.092,0.375,0.118,0.329,"Category: Berry, Molecules: 152"
cherry,ingredient,0.0,0.088,0.377,0.105,0.36,"Category: Berry, Molecules: 114"
bitter cherry,ingredient,0.0,0.094,0.387,0.094,0.33,"Category: Berry, Molecules: 106"
sour cherry,ingredient,0.006,0.11,0.381,0.118,0.337,"Category: Berry, Molecules: 136"
wild cherry,ingredient,0.0,0.231,0.385,0.231,0.231,"Category: Berry, Molecules: 13"
cloudberry,ingredient,0.0,0.103,0.388,0.103,0.326,"Category: Berry, Molecules: 116"
cranberry,ingredient,0.0,0.121,0.379,0.137,0.291,"Category: Berry, Molecules: 182"
gooseberry,ingredient,0.0,0.109,0.383,0.116,0.312,"Category: Berry, Molecules: 138"
lingonberry,ingredient,0.0,0.104,0.32,0.112,0.36,"Category: Berry, Molecules: 125"
loganberry,ingredient,0.0,0.11,0.394,0.147,0.321,"Category: Berry, Molecules: 109"
raspberry,ingredient,0.004,0.123,0.374,0.134,0.289,"Category: Berry, Molecules: 187"
strawberry,ingredient,0.0,0.125,0.409,0.14,0.206,"Category: Berry, Molecules: 257"
strawberry jam,ingredient,0.0,0.179,0.679,0.071,0.071,"Category: Berry, Molecules: 28"
bergamot,ingredient,0.0,0.0,0.375,0.312,0.25,"Category: Fruit Citrus, Molecules: 16"
citrus fruits,ingredient,0.0,0.024,0.405,0.352,0.19,"Category: Fruit Citrus, Molecules: 42"
grapefruit,ingredient,0.0,0.097,0.338,0.145,0.267,"Category: Fruit Citrus, Molecules: 165"
kumquat,ingredient,0.0,0.116,0.364,0.146,0.295,"Category: Fruit Citrus, Molecules: 129"
lemon,ingredient,0.0,0.088,0.326,0.274,0.28,"Category: Fruit Citrus, Molecules: 193"
lime,ingredient,0.0,0.085,0.348,0.213,0.262,"Category: Fruit Citrus, Molecules: 164"
mandarin orange,ingredient,0.0,0.082,0.333,0.223,0.272,"Category: Fruit Citrus, Molecules: 183"
satsuma orange,ingredient,0.0,0.2,0.4,0.4,0.0,"Category: Fruit Citrus, Molecules: 5"
tangerine,ingredient,0.0,0.0,0.429,0.286,0.333,"Category: Fruit Citrus, Molecules: 21"
